model,split,auc_roc,f1,accuracy,precision,recall,train_time_s
TF-IDF + Logistic Regression,English Test (20%),0.9693,0.6993,0.9527,0.8907,0.5756,1.1
TF-IDF + Logistic Regression,Multilingual Val,0.6266,0.0177,0.8472,0.7857,0.0089,
TF-IDF + Logistic Regression,Val-es,0.6138,0.0094,0.832,1.0,0.0047,
TF-IDF + Logistic Regression,Val-it,0.6002,0.0081,0.8052,0.6667,0.0041,
TF-IDF + Logistic Regression,Val-tr,0.6518,0.0426,0.895,0.7778,0.0219,
TF-IDF + Naive Bayes,English Test (20%),0.9434,0.6759,0.9445,0.7658,0.6049,0.0
TF-IDF + Naive Bayes,Multilingual Val,0.6048,0.0222,0.8459,0.4516,0.0114,
TF-IDF + Naive Bayes,Val-es,0.6074,0.0188,0.8328,1.0,0.0095,
TF-IDF + Naive Bayes,Val-it,0.595,0.0198,0.8016,0.2778,0.0102,
TF-IDF + Naive Bayes,Val-tr,0.63,0.0304,0.8937,0.5556,0.0156,
TF-IDF + SVM,English Test (20%),0.9649,0.7299,0.9555,0.8712,0.628,2.8
TF-IDF + SVM,Multilingual Val,0.5816,0.0225,0.8478,0.875,0.0114,
TF-IDF + SVM,Val-es,0.5779,0.0234,0.8332,1.0,0.0118,
TF-IDF + SVM,Val-it,0.5664,0.0041,0.8052,1.0,0.002,
TF-IDF + SVM,Val-tr,0.5736,0.0485,0.8953,0.8,0.025,
